1390,509  2,223695E-6  0  -0,001285688  0,001542515
1390,037  2,312691E-6  0  -0,001480952  0,001413388
1389,565  6,9791E-7  0  -0,0009937608  0,0005256247
1389,094  2,300155E-7  0  -8,586181E-5  -0,0006394366
1388,623  1,534672E-6  0  0,0007856008  -0,001469079
1388,152  2,138586E-6  0  0,00122169  -0,001540246
1387,682  1,033551E-6  0  0,001081488  -0,0008348457
1387,212  1,909027E-7  0  0,0005254733  0,0002615585
1386,742  7,676288E-7  0  -0,000105335  0,001171904
1386,273  1,274524E-6  0  -0,0004912575  0,001433796
1385,804  6,241684E-7  0  -0,0004974452  0,0009363447
1385,335  2,606728E-8  0  -0,0002138392  -3,451065E-5
1384,867  5,21977E-7  0  0,0001344918  -0,000959571
1384,399  1,100963E-6  0  0,0003383549  -0,001365447
1383,931  6,92461E-7  0  0,0003214096  -0,001067952
1383,464  4,983249E-8  0  0,000159342  -0,0002531024
1382,997  2,283669E-7  0  3,554748E-6  0,0006400276
1382,53  7,559543E-7  0  -3,05193E-5  0,001163699
1382,063  6,747162E-7  0  6,475122E-5  0,001097493
1381,597  1,914735E-7  0  0,0001991859  0,0005505436
1381,131  4,602731E-8  0  0,0002614896  -0,000118174
1380,666  1,68747E-7  0  0,0002045098  -0,0005097619
1380,2  9,563096E-8  0  7,874059E-5  -0,0004057724
1379,736  8,258905E-9  0  -8,118955E-6  0,0001211579
1379,271  3,255901E-7  0  2,415127E-5  0,0007617891
1378,807  7,596975E-7  0  0,0001600398  0,001152779
1378,343  7,025054E-7  0  0,0002868075  0,001081406
1377,879  2,406854E-7  0  0,0002652513  0,0005984962
1377,416  6,723465E-10  0  2,841227E-5  -1,972546E-5
1376,953  1,781976E-7  0  -0,0003578548  -0,0004345178
1376,49  3,97032E-7  0  -0,0007170231  -0,0004374861
1376,027  4,180476E-7  0  -0,0008591761  -6,463715E-5
1375,565  3,774244E-7  0  -0,0006960231  0,0004304943
1375,104  3,489618E-7  0  -0,0003011795  0,0007267318
1374,642  2,271356E-7  0  0,0001258294  0,0006218508
1374,181  9,188935E-8  0  0,0003743209  0,000150405
1373,72  1,742463E-7  0  0,000347727  -0,0004329809
1373,259  3,65685E-7  0  0,0001213654  -0,0007950078
1372,799  2,92152E-7  0  -0,0001061924  -0,0007106968
1372,339  3,223535E-8  0  -0,0001415977  -0,0001920589
1371,88  1,520726E-7  0  7,325456E-5  0,0005128898
1371,42  7,224306E-7  0  0,0004128231  0,001050657
1370,961  9,824128E-7  0  0,0006370431  0,001151479
1370,503  5,071971E-7  0  0,0005415266  0,0007747273
1370,044  1,547932E-8  0  9,885404E-5  0,0001322015
1369,586  2,434791E-7  0  -0,0004994817  -0,0004229012
